Code,Latitude,Longitude,Score,StandardCivicNumber,StandardAddress,StandardCity,StandardStateorProvinceAbbrv,PostalZip,Frequency
K1N6N5,45.421548,-75.683365,2,1,,Ottawa,ON,K1N6N5,31473
K1H8M5,45.399512,-75.647216,2,1,,OTTAWA,ON,K1H8M5,2538
M4N3M6,43.726171,-79.380724,2,1,,Toronto,ON,M4N3M6,2149
M3J1P3,43.772813,-79.501298,2,1,,North York,ON,M3J1P3,1945
C3E9F9,,0,0,,,,,C3E9F9,1645
H1C1H1,45.652609,-73.535852,2,1,,MONTR問AL,QC,H1C1H1,1592
E8F0F6,,0,0,,,,,E8F0F6,950
H1P3C6,45.599328,-73.592797,2,1,,SAINT-L問ONARD,QC,H1P3C6,838
H3W1M6,45.489443,-73.636802,2,1,,MONTR問AL,QC,H3W1M6,810
H9H9H9,45.469064,-73.858372,2,1,,Pierrefonds,QC,H9H9H9,514
K1H8L6,45.412696,-75.665785,2,1,,OTTAWA,ON,K1H8L6,467
H4A1T6,45.475344,-73.607661,2,1,,MONTR問AL,QC,H4A1T6,383
H3B3J7,45.503092,-73.567858,2,1,,MONTREAL,QC,H3B3J7,325
K1S1C3,47.342521,-78.64058,2,1,,OTTAWA,ON,K1S1C3,254
B2B2B2,,0,0,,,,,B2B2B2,229
K1N7B7,45.41753,-75.674945,2,1,,Ottawa,ON,K1N7B7,166
A9A8A8,,0,0,,,,,A9A8A8,158
E5F2F5,,0,0,,,,,E5F2F5,157
E1C6B3,46.087071,-64.789925,2,1,,Moncton,NB,E1C6B3,157
B9A9F0,45.635655,-61.367087,2,1,,,,B9A9F0,157
E6C6E9,46.186986,-66.585623,2,1,,,,E6C6E9,157
C1F5D2,,0,0,,,,,C1F5D2,157
V4W3W1,49.101477,-122.483258,2,1,,LANGLEY,BC,V4W3W1,148
L4V1N3,44.241518,-80.359661,2,1,,Mississauga,ON,L4V1N3,139
V5C6A8,49.266441,-123.01185,2,1,,BURNABY,BC,V5C6A8,139
E4L1E2,45.899433,-64.375377,2,1,,Sackville,NB,E4L1E2,132
E4L1C6,45.89679,-64.36208,2,1,,SACKVILLE,NB,E4L1C6,122
E9F3F5,,0,0,,,,,E9F3F5,119
B1F1A7,,0,0,,,,,B1F1A7,118
C0C7C6,,0,0,,,,,C0C7C6,111
E7C7A8,47.354695,-68.202197,2,1,,,,E7C7A8,111
K1Y4E9,45.396115,-75.712228,2,1,,Ottawa,ON,K1Y4E9,109
K0H2P0,44.761656,-76.682624,2,1,,Sharbot Lake,ON,K0H2P0,102
L2M7W7,43.165525,-79.196847,2,1,,ST CATHARINES,ON,L2M7W7,102
E0A8C8,46.224529,-64.750645,2,1,,,,E0A8C8,101
