x,y,Frequency
45.421548,-75.683365,31473
45.399512,-75.647216,2538
43.726171,-79.380724,2149
43.772813,-79.501298,1945
,0,1645
45.652609,-73.535852,1592
,0,950
45.599328,-73.592797,838
45.489443,-73.636802,810
45.469064,-73.858372,514
45.412696,-75.665785,467
45.475344,-73.607661,383
45.503092,-73.567858,325
47.342521,-78.64058,254
,0,229
45.41753,-75.674945,166
,0,158
,0,157
46.087071,-64.789925,157
45.635655,-61.367087,157
46.186986,-66.585623,157
,0,157
49.101477,-122.483258,148
44.241518,-80.359661,139
49.266441,-123.01185,139
45.899433,-64.375377,132
45.89679,-64.36208,122
,0,119
,0,118
,0,111
47.354695,-68.202197,111
45.396115,-75.712228,109
44.761656,-76.682624,102
43.165525,-79.196847,102
46.224529,-64.750645,101
,0,101
,0,101
,0,101
43.510795,-79.866906,98
44.898198,-66.934868,97
47.05564,-53.201979,94
43.51974,-80.480867,93
43.662654,-79.376516,91
44.725429,-63.674397,88
,0,87
,0,85
,0,85
,0,85
,0,85
,0,85
,0,85
49.195526,-123.099189,85
,0,83
43.670654,-79.39214,83
45.89941,-64.370316,83
49.883751,-97.140619,82
43.450003,-80.489224,82
,0,81
,0,81
44.715431,-75.52519,77
56.708615,-111.373566,72
,0,68
45.539131,-73.457543,67
45.699597,-65.55897,66
49.141616,-121.960203,65
49.280493,-123.109142,65
49.260612,-123.116277,63
49.038306,-122.276341,63
43.560927,-79.589493,61
,0,60
45.491508,-73.820197,60
45.581997,-73.339468,59
45.417804,-75.69519,59
45.97279,-64.980563,59
45.598914,-73.454629,58
45.5349,-73.182407,58
45.635839,-72.964237,58
45.871093,-65.82734,56
45.401142,-75.653313,54
54.783799,-127.168797,54
45.442683,-73.297992,53
,0,52
45.451009,-73.295835,51
45.594373,-73.445633,51
46.923822,-65.823223,51
45.612852,-73.44715,50
,0,49
45.902418,-64.372345,48
49.185638,-123.050502,48
43.642097,-79.411395,48
45.646958,-72.56776,47
,0,47
,0,47
45.580391,-73.349181,46
45.41021,-75.687722,45
,0,44
44.652264,-77.116038,43
49.203975,-57.430338,43
50.395275,-105.534782,42
,0,41
,0,41
,0,40
45.903109,-66.831489,40
49.215321,-122.948868,39
51.038045,-113.972588,39
,0,38
,0,38
46.327447,-72.408621,38
,0,38
,0,38
47.189907,-67.91176,38
,0,37
48.168664,-53.972592,37
45.4209,-75.67809,36
45.356541,-63.289394,36
45.526878,-73.34267,35
49.249865,-122.998223,35
,0,33
45.53676,-73.463906,33
44.734231,-63.748855,33
,0,33
45.530338,-73.590789,33
45.398917,-75.667335,33
45.474746,-73.58164,33
45.325832,-76.032272,33
,0,33
43.589841,-79.738384,32
52.108341,-101.266888,32
45.484432,-73.582342,32
51.050768,-114.075584,31
47.977944,-66.355908,31
45.48814,-73.581669,31
,0,30
43.65244,-79.389442,30
47.977944,-66.355908,30
45.465759,-73.628726,29
43.544623,-79.677157,29
,0,29
53.540825,-113.514398,29
,0,28
43.656464,-79.384741,28
44.164049,-76.720954,28
45.575263,-73.610091,28
,0,27
45.636524,-72.960597,27
45.119505,-73.990261,26
44.652692,-63.577708,26
43.72916,-79.329662,26
43.450529,-80.485184,26
45.503861,-73.420952,25
45.63354,-72.944876,25
45.510352,-73.565556,25
,0,25
43.831624,-80.847281,25
,0,24
49.203975,-57.430338,24
,0,24
45.471517,-73.85845,24
,0,24
45.394877,-75.720799,24
46.042492,-73.43438,24
46.088253,-64.778864,24
46.198692,-67.210409,24
44.525548,-76.67297,24
49.281541,-123.106181,24
45.378333,-75.741562,24
46.142879,-59.865105,23
43.689223,-79.393191,23
48.461755,-123.390403,23
49.288948,-123.115428,23
43.67031,-79.387029,23
45.41402,-75.703154,23
45.415565,-75.697964,23
,0,22
,0,22
45.423903,-75.681806,22
45.251162,-74.130201,22
45.594252,-73.577202,22
46.079107,-64.818243,21
,0,21
,0,21
,0,21
49.282852,-122.79832,21
49.266567,-123.238606,21
43.660225,-79.387025,21
45.404451,-65.99993,21
46.129178,-65.866799,20
48.419563,-71.850215,20
45.749285,-60.622219,20
,0,20
45.492959,-75.705365,20
45.600889,-73.534755,20
45.407813,-75.677384,20
46.04681,-73.095441,20
45.335342,-73.268049,20
43.821451,-79.061633,20
48.05552,-66.378274,19
,0,19
49.88598,-97.147106,19
44.058276,-79.464977,19
45.510234,-73.486784,19
46.13793,-60.183075,19
,0,19
45.494981,-73.408828,19
44.703204,-63.595248,19
45.90026,-64.379294,19
45.405525,-75.809397,19
,0,18
46.327447,-72.408621,18
46.417889,-66.5215,18
45.420903,-75.686604,18
45.582086,-73.210745,18
47.621254,-65.655655,18
,0,18
45.952345,-59.955517,18
45.209152,-72.724407,18
44.237247,-76.45792,18
48.509586,-64.242931,18
47.115822,-66.168141,18
,0,17
45.227305,-75.689505,17
,0,17
